nombre_grupo,descripción
Gobierno Sirio,Conformado por entidades gubernamentales que apoyan el régimen sirio entre ellos: Ejército Armado Fuerza Aérea Guardia Republicana Fuerza de Defensa Nacional y Brigadas Baaz.
Oposicion,También llamados Rebeldes y conformado por el Ejército Libre Sirio Yeish al-Islam Frente Sur y  Frente Islámico los cuales son grupos abiertamente contrarios al régimen sirio.
Kurdistan Sirio,Denominado Ejercito Kurdo. Conformado por grupos minoritarios que han tomado el control del norte de Siria: YPG YPJ JaT MFS IFB
ISIS,El Estado Islámico de Irak y el Levante (EIIL o ISIS por sus siglas en inglés) es un grupo terrorista insurgente de naturaleza fundamentalista yihadista.
CJTF-OIR,Coalición internacional contra el Estado Islámico de Irak y el Levante. Es la coalición militar establecida en la Guerra contra el Estado Islámico
